Date,Open,High,Low,Close,AdjustedClose,Volume,Dividend,Split
2014-08-07,116.844,116.844,114.1854,114.4107,97.949,903923,0.0,1.0
2014-08-08,113.8249,114.2755,112.383,114.1404,97.7176,1027044,0.0,1.0
2014-08-11,115.2218,115.8076,114.3206,115.0416,98.4891,652377,0.0,1.0
2014-08-12,114.7712,115.9428,114.5008,115.2669,98.682,665746,0.0,1.0
2014-08-13,115.9879,116.1231,115.357,115.8076,99.1449,448914,0.0,1.0
2014-08-14,114.9064,115.8977,114.0052,115.5373,98.9135,543530,0.0,1.0
2014-08-15,115.5373,116.4835,114.1404,114.636,98.1419,841730,0.0,1.0
2014-08-18,115.8527,116.6638,115.7626,115.8076,99.1449,540079,0.0,1.0
2014-08-19,116.1681,116.9792,115.8076,116.844,100.0322,458547,0.0,1.0
2014-08-20,117.0693,117.2496,116.1231,117.0243,100.1865,545087,0.0,1.0
2014-08-21,117.52,118.286,117.2496,117.7453,100.8038,649297,0.0,1.0
2014-08-22,117.9255,118.0156,115.9428,116.7089,99.9165,757850,0.0,1.0
2014-08-25,117.7453,118.8267,116.9792,118.8267,101.7296,461260,0.0,1.0
2014-08-26,118.6915,120.2687,118.6014,119.9983,102.7327,697355,0.0,1.0
2014-08-27,119.773,120.0434,119.3224,119.5928,102.3855,489060,0.0,1.0
2014-08-28,118.8267,119.3224,118.3761,118.7817,101.6911,651451,0.0,1.0
2014-08-29,119.1872,119.4576,117.9706,119.007,101.884,585628,0.0,1.0
2014-09-01,119.0971,120.3138,118.9169,119.773,102.5398,368654,0.0,1.0
2014-09-02,120.6292,120.8996,119.3675,119.9082,102.6555,389262,0.0,1.0
2014-09-03,121.6205,124.5495,121.6205,123.3779,105.626,1578323,0.0,1.0
2014-09-04,123.0625,124.2792,121.8909,124.0088,106.1661,1163425,0.0,1.0
2014-09-05,123.423,123.7835,122.4767,123.1526,105.4331,678711,0.0,1.0
2014-09-08,123.4681,123.4681,121.5304,122.7921,105.1245,614750,0.0,1.0
2014-09-09,122.3415,123.4681,122.1613,122.5218,104.893,536721,0.0,1.0
2014-09-10,121.936,122.7471,121.6656,122.4767,104.8544,533305,0.0,1.0
2014-09-11,123.3779,123.6032,121.5304,123.2878,105.5488,828018,0.0,1.0
2014-09-12,123.6483,123.6483,121.7107,122.7471,105.0859,512729,0.0,1.0
2014-09-15,122.6569,124.2792,122.6569,123.2878,105.5488,553515,0.0,1.0
2014-09-16,123.0174,123.0174,121.981,122.2514,104.6616,632157,0.0,1.0
2014-09-17,121.7107,122.2063,120.8545,121.3502,103.89,812595,0.0,1.0
2014-09-18,121.6656,122.4316,121.1699,122.2514,104.6616,563992,0.0,1.0
2014-09-19,122.0261,122.9273,120.9897,121.1699,103.7357,1384937,0.0,1.0
2014-09-22,121.215,121.3952,119.007,119.3675,102.1926,1012926,0.0,1.0
2014-09-23,119.2773,119.4576,117.2946,117.8354,100.8809,932205,0.0,1.0
2014-09-24,118.1058,119.728,117.6551,119.5928,102.3855,668941,0.0,1.0
2014-09-25,119.5027,119.9983,117.7002,117.8804,100.9195,1019414,0.0,1.0
2014-09-26,117.9255,118.5564,116.9792,117.9255,100.9581,699453,0.0,1.0
2014-09-29,117.52,117.6101,115.3119,116.1231,99.415,900227,0.0,1.0
2014-09-30,116.4835,117.0693,115.9428,115.9879,99.2992,1409998,0.0,1.0
2014-10-01,116.2132,117.1595,114.591,114.7712,98.2576,1092499,0.0,1.0
2014-10-02,115.8076,116.5286,113.4644,113.4644,97.1389,1862226,0.0,1.0
2014-10-03,114.3206,115.4922,113.8249,115.2218,98.6434,945816,0.0,1.0
2014-10-06,115.7175,116.5286,114.9064,115.5373,98.9135,887345,0.0,1.0
2014-10-07,115.5373,115.6724,113.1941,113.3293,97.0232,1291168,0.0,1.0
2014-10-08,113.2391,114.3657,112.7885,113.87,97.4861,1168788,0.0,1.0
2014-10-09,115.2218,115.6274,113.9601,114.5459,98.0648,1148093,0.0,1.0
2014-10-10,114.4558,114.636,112.1577,112.6533,96.4445,1178500,0.0,1.0
2014-10-13,111.8873,113.4194,111.662,113.1941,96.9074,961268,0.0,1.0
2014-10-14,112.4731,113.1941,110.7157,112.7435,96.5216,1135315,0.0,1.0
2014-10-15,112.1577,116.6638,110.8509,112.5632,96.3673,2372315,0.0,1.0
2014-10-16,112.7885,114.0502,109.4089,111.5268,95.48,1970269,0.0,1.0
2014-10-17,111.2114,113.2842,110.8959,112.8336,96.5988,1609379,0.0,1.0
2014-10-20,112.7435,113.4644,111.707,112.6083,96.4059,938973,0.0,1.0
2014-10-21,112.428,114.2305,112.1126,114.0502,97.6404,1028440,0.0,1.0
2014-10-22,113.7348,114.9965,113.3743,114.5008,98.0262,863643,0.0,1.0
2014-10-23,113.915,116.0329,112.7885,115.8527,99.1835,899640,0.0,1.0
2014-10-24,115.3119,115.9879,114.636,115.5823,98.952,828075,0.0,1.0
2014-10-27,116.6187,116.7089,115.4471,115.7626,99.1064,810767,0.0,1.0
2014-10-28,116.2582,117.6551,116.1681,117.0693,100.2251,917514,0.0,1.0
2014-10-29,117.4298,119.1872,117.4298,118.4662,101.421,894517,0.0,1.0
2014-10-30,118.4212,119.728,116.8891,119.5928,102.3855,987244,0.0,1.0
2014-10-31,121.3051,122.1162,120.3588,121.981,104.4301,1245145,0.0,1.0
2014-11-03,121.6656,122.2063,121.1249,121.4854,104.0057,773106,0.0,1.0
2014-11-04,121.1699,121.4403,118.6915,118.9169,101.8068,1058369,0.0,1.0
2014-11-05,119.5477,121.1699,119.1422,120.7644,103.3885,715557,0.0,1.0
2014-11-06,120.3138,122.702,120.3138,121.936,104.3915,1437695,0.0,1.0
2014-11-07,121.8909,122.2965,119.9533,120.6742,103.3113,846724,0.0,1.0
2014-11-10,120.2236,122.3866,120.0434,122.3415,104.7387,566663,0.0,1.0
2014-11-11,122.4316,123.6483,122.1162,123.2427,105.5103,608270,0.0,1.0
2014-11-12,122.7921,123.9187,122.4767,122.702,105.0473,868431,0.0,1.0
2014-11-13,123.4681,124.4594,122.4316,124.144,106.2818,720279,0.0,1.0
2014-11-14,124.4594,124.7298,123.5131,124.144,106.2818,600938,0.0,1.0
2014-11-17,123.1977,124.865,123.0625,124.6847,106.7448,635520,0.0,1.0
2014-11-18,124.8199,125.9915,124.6847,125.6761,107.5935,739917,0.0,1.0
2014-11-19,125.5409,126.8927,125.5409,126.4872,108.2879,828021,0.0,1.0
2014-11-20,126.1717,126.4421,125.4507,126.0816,107.9407,647773,0.0,1.0
2014-11-21,126.4872,130.6328,126.397,130.6328,111.837,1728613,0.0,1.0
2014-11-24,130.2273,130.6779,129.326,130.047,111.3355,889670,0.0,1.0
2014-11-25,130.0921,130.2273,128.6952,129.5964,110.9497,849516,0.0,1.0
2014-11-26,127.8841,129.5063,127.3433,128.8303,110.2939,677961,0.0,1.0
2014-11-27,128.8303,129.4161,128.5149,128.8754,110.3325,624466,0.0,1.0
2014-11-28,128.7402,130.4075,128.7402,130.2273,111.4898,794733,0.0,1.0
2014-12-01,129.3711,130.1371,128.6952,129.5513,110.9112,540268,0.0,1.0
2014-12-02,128.8754,129.5513,127.839,128.2446,110.7555,691495,1.1265,1.0
2014-12-03,127.5686,129.2359,127.4785,128.4699,110.9501,575251,0.0,1.0
2014-12-04,128.2896,130.8581,128.1544,128.3347,110.8333,1207651,0.0,1.0
2014-12-05,129.2359,132.0297,129.2359,131.3538,113.4407,970959,0.0,1.0
2014-12-08,130.3624,131.2637,129.5964,130.5877,112.7791,419013,0.0,1.0
2014-12-09,129.1458,130.0019,127.7939,127.9742,110.522,1127741,0.0,1.0
2014-12-10,128.2446,130.4075,127.1631,127.1631,109.8215,1011206,0.0,1.0
2014-12-11,126.5773,127.7939,125.9464,127.073,109.7437,1087826,0.0,1.0
2014-12-12,126.1717,126.4421,124.0088,124.0088,107.0974,1094172,0.0,1.0
2014-12-15,123.4681,125.7662,121.4854,121.4854,104.9181,1505452,0.0,1.0
2014-12-16,122.4316,123.2878,118.7366,123.2878,106.4747,2071859,0.0,1.0
2014-12-17,129.0,129.3,123.5,125.85,108.6875,2143039,0.0,1.0
2014-12-18,128.85,130.25,126.9,130.25,112.4875,2171068,0.0,1.0
2014-12-19,131.15,132.15,128.65,129.95,112.2284,1902348,0.0,1.0
2014-12-22,130.5,131.65,130.1,131.05,113.1784,644689,0.0,1.0
2014-12-23,131.55,132.5,130.9,132.5,114.4306,609593,0.0,1.0
2014-12-24,132.2,132.65,131.65,131.9,113.9124,99653,0.0,1.0
2014-12-29,131.4,132.5,130.8,132.5,114.4306,631691,0.0,1.0
2014-12-30,131.8,132.2,131.1,131.15,113.2647,422885,0.0,1.0
2014-12-31,131.15,132.8,131.15,132.25,114.2147,134755,0.0,1.0
2015-01-02,132.5,133.7,129.9,130.85,113.0056,614377,0.0,1.0
2015-01-05,130.05,131.85,126.75,127.05,109.7238,1053659,0.0,1.0
2015-01-06,127.1,127.55,125.5,125.6,108.4716,896487,0.0,1.0
2015-01-07,125.8,126.15,123.5,125.7,108.5579,1349578,0.0,1.0
2015-01-08,127.5,130.05,126.35,129.65,111.9693,1155174,0.0,1.0
2015-01-09,129.35,130.6,127.1,127.7,110.2852,961806,0.0,1.0
2015-01-12,128.5,132.4,128.25,131.95,113.9556,1374599,0.0,1.0
2015-01-13,130.9,133.5,130.55,132.95,114.8192,1018643,0.0,1.0
2015-01-14,131.5,134.15,130.9,132.7,114.6033,1453549,0.0,1.0
2015-01-15,133.8,135.4,129.3,135.05,116.6329,2274019,0.0,1.0
2015-01-16,134.2,135.05,132.75,134.2,115.8988,1363101,0.0,1.0
2015-01-19,134.55,135.1,132.95,134.2,115.8988,911823,0.0,1.0
2015-01-20,134.2,136.5,133.45,136.5,117.8851,1083427,0.0,1.0
2015-01-21,137.0,137.85,135.95,137.4,118.6624,1381031,0.0,1.0
2015-01-22,137.05,138.7,136.05,137.85,119.051,1347411,0.0,1.0
2015-01-23,139.0,143.3,138.15,141.85,122.5055,1737416,0.0,1.0
2015-01-26,141.4,144.75,141.1,144.65,124.9237,1142528,0.0,1.0
2015-01-27,144.8,145.7,143.25,145.1,125.3123,1219438,0.0,1.0
2015-01-28,145.95,146.0,144.1,145.2,125.3987,1122852,0.0,1.0
2015-01-29,144.25,145.25,142.75,144.7,124.9669,1409192,0.0,1.0
2015-01-30,145.25,146.0,142.7,143.5,123.9305,1181039,0.0,1.0
2015-02-02,144.45,146.0,142.6,143.3,123.7578,1148343,0.0,1.0
2015-02-03,143.3,145.0,141.8,144.5,124.7941,1190779,0.0,1.0
2015-02-04,151.7,156.45,151.5,156.25,134.9418,3129281,0.0,1.0
2015-02-05,154.7,155.45,152.75,153.5,132.5668,1813581,0.0,1.0
2015-02-06,152.95,154.0,152.5,152.8,131.9622,1021962,0.0,1.0
2015-02-09,151.5,152.3,149.8,150.6,130.0623,1202242,0.0,1.0
2015-02-10,151.65,156.15,151.4,156.15,134.8554,1439042,0.0,1.0
2015-02-11,155.5,157.6,155.0,156.55,135.2008,906617,0.0,1.0
2015-02-12,157.0,159.95,156.7,159.15,137.4463,1474893,0.0,1.0
2015-02-13,159.35,160.0,158.05,158.5,136.8849,862611,0.0,1.0
2015-02-16,157.95,158.15,156.3,156.95,135.5463,702173,0.0,1.0
2015-02-17,156.9,157.75,154.8,157.6,136.1077,676920,0.0,1.0
2015-02-18,158.1,158.85,157.3,158.75,137.1008,576207,0.0,1.0
2015-02-19,158.15,160.85,157.45,160.8,138.8713,687559,0.0,1.0
2015-02-20,160.45,161.0,158.8,161.0,139.044,1010041,0.0,1.0
2015-02-23,162.1,162.45,160.3,161.25,139.2599,654545,0.0,1.0
2015-02-24,161.85,161.9,159.85,161.2,139.2167,612916,0.0,1.0
2015-02-25,160.6,161.75,160.35,161.6,139.5622,575695,0.0,1.0
2015-02-26,161.9,162.3,160.95,161.95,139.8644,748534,0.0,1.0
2015-02-27,161.4,163.9,161.25,163.9,141.5485,855078,0.0,1.0
2015-03-02,163.9,164.85,163.2,164.75,142.2826,845868,0.0,1.0
2015-03-03,165.0,166.3,162.15,162.4,140.2531,760748,0.0,1.0
2015-03-04,163.3,165.1,162.5,165.1,142.5849,903311,0.0,1.0
2015-03-05,165.4,168.0,165.15,167.7,144.8303,795135,0.0,1.0
2015-03-06,167.35,169.1,167.3,168.9,145.8666,800225,0.0,1.0
